40b	N., take to thyself the eye of Horus; equip thyself with it. One ḥtm-bowl of beer.
40c	(Nt. Jéquier, XII 2 83). To say: I bring two eyes of Horus. An ’iwn.t-bow.
40d	(Nt. 284). To say: From (or "in") the place where they fell. Ḫr.t-sea.
40e	(Nt. 285). To say: Take them which I give to thee. A bowstring.
40f	(Nt. 286). To say: He cast them to the ground. A rwd-whip.
40g	(Nt. 287). To say: Osiris N., I bring to thee two eyes of Horus. An ’iwn.t-bow.
40h	(Nt. 288). [To] say: [I gave to thee] ----- Set. A pd.t-bow.
40i	(Nt. 289). To say: I gave [to thee] ---- heart of Set. A [d ---].
40i	(Nt. 290). [To say] ----------- n [b]. ---- rwd.
40k	(Nt. 291). [To say] ------------- thou (?) hast seized them. -----
40l	(Nt. 292). [To say] ---- [Osir]is N. I bring to thee the two eyes of Horus, [thy] joy (?) --------
40m	(Nt. 293). To say: Osiris N., take (?) to thyself the eye of Horus; protect it; let it not cease (to be).
40n	(Nt. 294). To say: Osiris N., take to thyself the eye of Horus, as it was returned to him.
57K-L	
40o	(Nt. 295). To say: Osiris N., take to thyself the eye of Horus; protect (it), for it is given (back) to him. The ’idr-tail.
40p	(Nt. 296). To say: Osiris N., take one eye of Horus. One tail.
40q	(Nt. 297). To say: Osiris N., take to thyself the eye of this Horus, which was taken by him from Set--he had robbed it. One tail.
40r	(Nt. 298). To say: Osiris N., take to thyself the eye of Horus, which is guarded by Geb. One bs-block.
40S	(Nt. 299). To say: Osiris N., take to thyself the eye of Horus over which Set enjoyed himself. Mśi (?) pn mr.
40t	(Nt. 300). To say: Osiris N., take to thyself the eye of Horus. which he saw side (by side) with Set. A dagger.
40u	(Nt. 300. To say: Osiris N., take to thyself the eye of this Horus, which was taken by him from Set--[he] had robbed it. One tail.
