136a	O N., beware of the ocean (sea?). To say four times.
136b	The messengers of thy ka are come for thee; the messengers of thy father are come for thee; the messengers of Rē‘ are come for thee.
137a	Go after (pursue) thy sun (days); purify thyself,
137b	(for) thy bones are (those of) female-falcons, goddesses, who are in heaven,
137c	that thou mayest be at the side of the god; that thou mayest leave thy house to thy son
137d	who is thine heir. Everyone who speaks, evil against the name of N.,
138a	when he ascends, Geb reckons him as an evil-doer in his own city,
138b	so that he weakens, he falters. Thou purifiest thyself in the dew of the stars;
138c	thou descendest on firm (copper?) cables, on the shoulders of Horus in his name of "He who is in the Ḥnw-boat."
139a	The blessed dead (?) lament for thee (after) the imperishable stars bore thee (away).
139b	Enter the abode of thy father, to the abode of Geb,
139c	that he may give to thee that which is on the brow of Horus, that thou mayest be a ba thereby, that thou mayest be a śḫm thereby,
139d	that thou mayest be a Ḫnti-’imntiw thereby.
