140a	O N.,
140b	let thy messengers go; let thine envoys hasten to thy father, to Atum.
140c	Atum, let him ascend to thee; enfold him in thine embrace,
141a	(for) there is no god, (who has become) a star, who has not his companion. Shall I be thy companion?
146	Look (at me); thou hast regarded the form of the children of their fathers,
141c	who know their speech. (They are now) imperishable stars.
141d	(So) shalt thou see those who are in the palace, (that is) Horus and Set.
142a	Mayest thou spit in the face of Horus; mayest thou drive away the injury from him.
142b	Mayest thou catch the testicles of Set; mayest thou drive away his mutilation.
142c	That one was born to thee; this one was conceived by thee.
143a	Thou art born, O Horus, as one whose name is "Him at whom the earth quakes." [Thou art conceived, O Set, as one whose name is] "Him at whom heaven trembles."
143b	That one (Horus) has not a mutilation; this one (Set) has not an injury; this one (Set) has not an injury; that one (Horus) has not a mutilation.
144a	Thou art born, Horus, of Osiris; thou art more ba than he, thou art more śḫm than he.
144b	Thou art conceived, Set by Geb; thou art more ba than he, thou art more śḫm than he.
145a	No seed of a god, which belongs to him, goes to ruin; so thou who belongest to him wilt not go to ruin.
145b	Rē‘-Atum does not surrender thee to Osiris. He judges (lit. numbers) not thy heart; he gains not power over thy heart.
145c	Rē‘-Atum does not surrender thee to Horus. He judges (lit. numbers) not thy heart; he gains not power over thy heart.
146a	Osiris, thou dost not gain power over him (Set); thy son gains not power over him.
146b	Horus, thou dost not gain power over him (Set); thy father gains not power over him.
147a	Thou belongest, O mn, to that god, of whom the twin-children of Atum said (to him):
147b	"Arise," said they, "in thy name of god"--and so thou becomest an Atum to (of) every god:
148a	Thy head is (that of) Horus of the Dȝ.t, O Imperishable.
148b	Thy face is that of Mḫnti-’irti, O Imperishable.
148c	Thine ears are the twin-children of Atum, O Imperishable. Thine eyes are the twin-children of Atum, O Imperishable.
148d	Thy nose is (that of) Anubis, O Imperishable. Thy teeth are (those of) Sopdu, O Imperishable.
149a	Thine arms are Hp and Dwȝ-mw.t.f, which thou needest to ascend to heaven, when thou ascendest;
149b	thy legs are ’Imś.ti and Ḳbḥ-śn.w.f, which thou needest to descend to the lower heaven (underworld) when thou descendest.
149c	Thy (other) members are the twin-children of Atum, O Imperishable.
149d	Thou perishest not, thy ka perishes not, (for) thou art a ka.
