230a	To say: Be thy two poison-glands in the ground; be thy two rows of ribs in the hole.
230b	Pour out the liquid. The two kites stand there.
230c	Thy mouth is closed by the hangman's tool; the mouth of the hangman's tool is closed by the mȝfd.t (lynx).
230d	The one made tired is bitten by a serpent.
231a	O Rē‘, N. has bitten the earth; N. has bitten Geb.
231b	N. has bitten the father of him who bit him.
231c	This is the being who has bitten N., (though) N. did not bite him.
232a	It is he who is come against N., (though) N. does not go against him;
232b	the second moment after he saw N., the second moment after he perceived N.
232c	If thou bitest N., he will make one (piece) of thee; if thou regardest N., he will make two of thee.
233a	The n‘w-serpent (male) is bitten by the n‘.t-serpent (female); the n‘.t-serpent is bitten by the n‘w-serpent.
233b	Heaven is protected magically; earth is protected magically; the "manly" who is behind mankind is protected magically.
234a	The god whose head is blind is protected magically; thou thyself, scorpion, art protected magically.
234b	These are the two knots (charm) of Elephantiné which are in the mouth of Osiris,
234c	which Horus knotted concerning the backbone.
