636a	To say: O Osiris N., this is Horus who is in thine arms;
636b	he will avenge thee.
636c	It is pleasing to him to be again with thee, in thy name of "He of the horizon whence Rē‘ goes forth."
636d	Thou hast closed thine arms round and round him;, he will not depart from thee.
637a	Horus does not allow thee to be sick; Horus, has placed thine enemy under thy feet,
637b	that thou mayest live. Horus has given his children to thee,
637c	that they may put themselves under thee, without one of them withdrawing, and that they may carry thee.
638d	Thy mother Nut has spread herself over thee, in her name of "She of Št-p.t";
638b	she has caused thee to be as a god, in spite of thee, in thy name of "God",
638c	she protects thee against all evil things, in her name of "Great Sieve" (protectress).
638d	Thou art the greatest among her children.
639a	Geb is satisfied with thee; he has loved thee; he has protected thee;
639b	he has given (back) to thee thy head; he has caused Thot to take care of thee, so that what was against thee ceased.
