946a	To say: O ferryman,
946b	who has brought this (boat) to Horus, that his, eye may be brought back,
946c	who has brought this to Set, that his testicles may be brought back,
947a	the eye of Horus sprang up as he fell on the eastern side of the sky.
947b	Dost thou spring up with it, that thou mayest fall on (come to) the eastern side of the sky?
948a	N. goes that he may do service of courtier to Rē‘
948b	in the place of the gods, who are gone to their kas,
948c	who have lived in the places of Horus, who have lived in the places of Set.
949a	Behold N. is come, behold N. is ascended for life and joy;
949b	N. has attained the heights of heaven;
949c	N. is not warded off by the palace of the Great Ones, from the way of the śḥd.w-stars.
950a	The morning-boat calls N.; it is, N. who bails it out.
950b	Rē‘ appoints N. as lord of life and joy.
