1830a	To say: Osiris N., Geb has given thee all the gods,
1830b	that they may unite with thee. Thou hast power over them;
1830c	and they fraternize with thee, in their name of "Śn.wt";
1830d	they have not rejected thee in their name of ["The two ’itr.t-palaces"].
1831a	Osiris N., Horus has assigned them to thee, united (them).
1831a	+ 1. He has encircled for thee all the gods in the embrace of thy two arms,
1831a	+ 2. together with their lands, together with all their possessions,
1831a	+ 3. that they may do service of courtier, as thy "bodyguard."
1831a	+ 4. O N., thou art a great god;
1831a	+ 5. thou art great, thou art bent around like the "Circle which encircles the nb.wt."
1831b	Osiris N., behold, thou art avenged, thou livest; thou movest daily.
1831c	Osiris N., there is no discord in thee.
1831d	Osiris, N., thou art the ka of all the gods.
1832a	Horus has avenged thee; thou art become his ka.
1832a	+ 1. O Osiris N., thou art a god, the power of all the gods.
1832b	An eye has gone forth from thy head like the "Great-in-charms" of Upper Egypt.
1832b	+ 1. He has given to thee as his eye in thy forehead as the "Great-in-charms" of Upper Egypt.
1832b	+ 2. An eye has gone forth from thy head (in) Lower Egypt.
1832b	+ 3. Thou dawnest as Horus, king of Lower Egypt; they are fraternizing with thee,
1832b	+ 4. in alliance with Horus, king of Lower Egypt.
1832b	+ 5. Thou dawnest as king of Upper and Lower Egypt.
1832b	+ 6. Thou art powerful over the gods, also their kas.
1832b	+ 7. O Osiris N., thou art the two souls, thou shalt not die;
1832b	+ 8. Osiris N., thou hast spoken; thou hast rejoiced, Osiris N.
1832b	+ 9. Thou hast a ba, Osiris N.; thou hast life, Osiris N.;
1832b	+ 10. thou art powerful; thou destroyest thine enemies, Osiris N.
1832b	+ 11. Horus, thou hast made peace (to be) with Osiris N.-
1832b	+ 12. peace be upon her.
1832b	+ 13. Thou hast put thy regard upon her.
1832b	+ 14. May peace be to thee, which he gives to thee, (to) thy head.
