2182a	To say: Father N.,
2182b	raise thyself up on thy right side; support thyself on thy left side.
2182c	Thy flesh has been collected for thee ------------
2182d	--------------------------------------
2183a	---------------- with which thou art pure as a god.
2183b	The messengers of Rē‘ come forth for thee; the imperishable stars take thine arm.
2183c	[Thou] diest not ------------------------------
2184a	--------------------------------------
2184b	[like Anubis] who is in Tȝḫb.t.
2185a	Thy wȝg (offering) is of bread; wȝg is like the eye of Horus,
2185b	in (his) name of "Wȝg-(offering)."
2185c	Thy presentation -----------------------------
2185d	--------------------------------------
2186a	----- thine enemies are destroyed; they perish;
2186b	they foam in opposing thee; throw them in the lake; throw them in the sea.
2187a	Men come to thee -----------------------------
2187b	--------------------------------------
2187c	-------
